id,Publishing Year,Book Name,Author,language_code,Author_Rating,Book_average_rating,Book_ratings_count,genre
102,1959,Starship Troopers,Robert A. Heinlein,en-CA,Intermediate,3.99,136886,genre fiction
103,2011,I've Got Your Number,Sophie Kinsella,eng,Intermediate,3.93,144533,genre fiction
104,1991,Sofies Verden,"Jostein Gaarder, Paulette MÃ¸ller",eng,Intermediate,3.88,109692,genre fiction
105,2011,,Mark Cotta Vaz,eng,Intermediate,4.3,188136,genre fiction
106,1950,The Martian Chronicles,Ray Bradbury,en-US,Intermediate,4.12,143236,genre fiction
107,2010,A Visit From the Goon Squad,Jennifer Egan,eng,Intermediate,3.64,120126,genre fiction
108,1880,Heidi,"Johanna Spyri, Angelo  Rinaldi, Beverly Cleary",eng,Intermediate,3.97,144497,genre fiction
109,2002,Prey,Michael Crichton,,Intermediate,3.72,131352,genre fiction
110,1956,The Last Battle,C.S. Lewis,eng,Intermediate,4.02,158701,genre fiction
111,2007,World Without End,Ken Follett,eng,Intermediate,4.23,128715,genre fiction
112,2008,Chosen: A House of Night Novel,"P.C. Cast, Kristin Cast",en-US,Intermediate,3.9,180961,fiction
113,2012,Slammed,Colleen Hoover,eng,Intermediate,4.29,153882,genre fiction
114,2007,"Beastly (Beastly, #1, Kendra Chronicles, #1)",Alex Flinn,eng,Intermediate,3.84,150003,genre fiction
115,1390,Tales of Caunterbury,"Geoffrey Chaucer, Nevill Coghill",eng,Novice,3.48,148480,genre fiction
116,2006,Baby Proof,Emily Giffin,en-US,Intermediate,3.71,124371,nonfiction
117,2011,Inheritance,Christopher Paolini,en-US,Intermediate,4.08,146905,nonfiction
118,2009,ã„ã¡ãã‚…ã†ã¯ã¡ã‚ˆã‚“ [Ichi-KyÅ«-Hachi-Yon],"Haruki Murakami, Jay Rubin, Philip Gabriel",eng,Intermediate,3.89,125195,genre fiction
119,1852,Uncle Tom's Cabin or Life Among the Lowly,Harriet Beecher Stowe,eng,Intermediate,3.83,137858,fiction
120,1909,Le FantÃ´me de l'OpÃ©ra,"Gaston Leroux, Alexander Teixeira de Mattos",eng,Intermediate,3.97,141110,genre fiction
121,2006,"Definitely Dead (Sookie Stackhouse, #6)",Charlaine Harris,en-US,Intermediate,4.02,163054,genre fiction
122,1995,Ensaio Sobre a Cegueira,"JosÃ© Saramago, Giovanni Pontiero",en-US,Intermediate,4.08,98738,genre fiction
123,2010,Freedom,Jonathan Franzen,en-US,Intermediate,3.73,119213,genre fiction
124,2011,Crossed,Ally Condie,eng,Intermediate,3.52,100886,genre fiction
125,2006,"I'd Tell You I Love You, But Then I'd Have to Kill You",Ally Carter,en-US,Intermediate,3.82,150222,genre fiction
126,2008,The White Tiger,Aravind Adiga,eng,Intermediate,3.71,114531,genre fiction
127,2001,The Corrections,Jonathan Franzen,eng,Intermediate,3.78,117657,genre fiction
128,1995,Dreams from My Father,Barack Obama,eng,Intermediate,3.81,128961,nonfiction
129,1980,Congo,Michael Crichton,eng,Intermediate,3.55,129811,nonfiction
130,1972,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Judith Viorst, Ray Cruz",en-CA,Intermediate,4.22,146073,genre fiction
131,1999,Interpreter of Maladies,Jhumpa Lahiri,eng,Intermediate,4.12,110651,genre fiction
132,1980,A People's History of the United States: 1492 to Present ,Howard Zinn,eng,Intermediate,4.07,137372,genre fiction
133,1958,Breakfast at Tiffany's,Truman Capote,eng,Intermediate,3.89,129778,genre fiction
134,2010,The Passage,Justin Cronin,eng,Intermediate,4.04,126993,genre fiction
135,2005,Anansi Boys,Neil Gaiman,eng,Intermediate,4,137639,nonfiction
136,2009,Along for the Ride,Sarah Dessen,eng,Intermediate,4.08,151721,genre fiction
137,2014,Everything I Never Told You,Celeste Ng,eng,Intermediate,3.78,108703,genre fiction
138,1982,La casa de los espÃ­ritus,"Isabel Allende, Magda Bogin",en-US,Intermediate,4.2,119930,genre fiction
139,1979,The Dead Zone,Stephen King,en-US,Intermediate,3.9,132723,genre fiction
140,1920,The Mysterious Affair at Styles,"Agatha Christie, Î¡Î¿Î¶Î¯Ï„Î± Î£ÏŽÎºÎ¿Ï…",eng,Intermediate,3.98,135514,genre fiction
141,1934,Murder in the Calais Coach,Agatha Christie,eng,Intermediate,4.16,138444,genre fiction
142,2013,Americanah,Chimamanda Ngozi Adichie,eng,Intermediate,4.26,113252,genre fiction
143,2001,Suzanne's Diary for Nicholas,James Patterson,eng,Intermediate,4.16,121398,genre fiction
144,1980,Firestarter,Stephen King,eng,Intermediate,3.85,142213,genre fiction
145,2013,Entwined with You,Sylvia Day,eng,Intermediate,4.19,141641,genre fiction
146,2009,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,eng,Intermediate,4.27,109642,genre fiction
147,2014,The Storied Life of A.J. Fikry,Gabrielle Zevin,eng,Intermediate,3.98,115393,genre fiction
148,1939,Mad About Madeline,Ludwig Bemelmans,en-GB,Intermediate,4.22,156726,genre fiction
149,1937,Think and Grow Rich,Napoleon Hill,eng,Intermediate,4.17,87445,genre fiction
150,1932,Little House In The Big Woods,"Laura Ingalls Wilder, Garth Williams",eng,Intermediate,4.16,165127,genre fiction
151,2004,Jonathan Strange & Mr Norrell,Susanna Clarke,eng,Intermediate,3.8,133683,genre fiction
152,2001,A Bend in the Road,Nicholas Sparks,eng,Intermediate,4.02,116800,genre fiction
153,2013,The House of Hades,Rick Riordan,eng,Famous,4.54,159774,nonfiction
154,2008,Gone,Michael  Grant,eng,Intermediate,3.85,144606,genre fiction
155,2003,The Wedding,Nicholas Sparks,en-US,Intermediate,3.98,118045,genre fiction
156,2005,1776,David McCullough,eng,Intermediate,4.06,130293,genre fiction
157,2003,Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,eng,Intermediate,3.98,112167,genre fiction
158,2012,Beautiful Ruins,Jess Walter,eng,Intermediate,3.67,116053,genre fiction
159,2006,The Audacity of Hope: Thoughts on Reclaiming the American Dream,Barack Obama,en-US,Intermediate,3.69,110873,genre fiction
160,1999,On Writing: A Memoir of the Craft,Stephen King,eng,Intermediate,4.31,131481,genre fiction
161,2008,Firefly Lane,Kristin Hannah,en-US,Intermediate,4.04,121966,genre fiction
162,1987,Sphere,Michael Crichton,eng,Intermediate,3.77,128244,genre fiction
163,2008,Love the One You're With,Emily Giffin,en-US,Intermediate,3.7,124812,genre fiction
164,2014,The Silkworm,"Robert Galbraith, J.K. Rowling",eng,Intermediate,4.03,120008,genre fiction
165,1985,The Vampire Lestat,Anne Rice,eng,Intermediate,4.05,141299,genre fiction
166,2011,State of Wonder,Ann Patchett,eng,Intermediate,3.85,124837,genre fiction
167,2008,The Silver Linings Playbook,Matthew Quick,en-US,Intermediate,4,110939,genre fiction
168,1869,Vingt Mille Lieues Sous les Mers,"Jules Verne, Anthony Bonner",eng,Intermediate,3.86,121112,genre fiction
169,2005,The Constant Princess,Philippa Gregory,en-US,Intermediate,3.88,124786,genre fiction
170,1925,Mrs Dalloway,"Virginia Woolf, Maureen Howard",en-US,Intermediate,3.78,136327,genre fiction
171,2009,HundraÃ¥ringen som klev ut genom fÃ¶nstret och fÃ¶rsvann,"Jonas Jonasson, Rod Bradbury",en-GB,Intermediate,3.81,92275,genre fiction
172,1998,Bag of Bones,Stephen King,en-US,Intermediate,3.87,131004,genre fiction
173,1985,The Cider House Rules,John Irving,eng,Intermediate,4.1,124876,genre fiction
174,1984,Thinner,"Richard Bachman, Stephen King",en-GB,Intermediate,3.66,130219,genre fiction
175,1872,Le tour du monde en quatre-vingts jours,"Jules Verne, Michael Glencross, Brian W. Aldiss",eng,Intermediate,3.9,117108,genre fiction
176,1994,Walk Two Moons,Sharon Creech,eng,Intermediate,3.95,129350,nonfiction
177,2003,Onze minutos,"Paulo Coelho, Margaret Jull Costa",eng,Intermediate,3.69,102206,genre fiction
178,1953,Nine Stories,J.D. Salinger,eng,Intermediate,4.19,105138,genre fiction
179,2005,"Julie & Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",Julie Powell,eng,Intermediate,3.67,121373,nonfiction
180,2007,Unwind,Neal Shusterman,eng,Intermediate,4.18,143892,genre fiction
181,1996,"Drums of Autumn (Outlander, #4)",Diana Gabaldon,eng,Intermediate,4.34,123736,nonfiction
182,2013,Prodigy,Marie Lu,eng,Intermediate,4.29,149702,genre fiction
183,1603,The Tragedie of King Lear,William Shakespeare,eng,Intermediate,3.89,135448,genre fiction
184,1949,Death of a Salesman,Arthur Miller,eng,Novice,3.49,132061,genre fiction
185,2007,The Choice,Nicholas Sparks,en-US,Intermediate,3.99,93479,genre fiction
186,2012,,Kate Egan,en-US,Famous,4.51,119915,genre fiction
187,1929,The Sound and the Fury,William Faulkner,eng,Intermediate,3.86,124665,genre fiction
188,2005,A New Earth: Awakening to Your Life's Purpose,Eckhart Tolle,eng,Intermediate,4.02,106211,genre fiction
189,2002,BLEACHâ€•ãƒ–ãƒªãƒ¼ãƒâ€•ã€€1,Tite Kubo,eng,Intermediate,4.21,120004,fiction
190,2013,,Allie Brosh,eng,Intermediate,4.17,118910,genre fiction
191,1992,The Shadow Rising ,Robert Jordan,en-US,Intermediate,4.21,122524,nonfiction
192,2003,Shantaram,Gregory David Roberts,eng,Intermediate,4.26,95213,genre fiction
193,2008,From Dead to Worse,Charlaine Harris,eng,Intermediate,4.01,151095,genre fiction
194,1991,The Waste Lands,"Stephen King, Ned Dameron",eng,Intermediate,4.24,117483,genre fiction
195,1997,The Bone Collector,Jeffery Deaver,en-US,Intermediate,4.18,120541,genre fiction
196,1995,Der Vorleser,"Bernhard Schlink, Carol Brown Janeway",eng,Intermediate,3.73,119911,genre fiction
197,1967,"Brown Bear, Brown Bear, What Do You See?","Bill Martin Jr., Eric Carle",eng,Intermediate,4.19,125668,genre fiction
198,1989,Hyperion,Dan Simmons,eng,Intermediate,4.21,122225,genre fiction
199,1947,The Pearl of the World,John Steinbeck,eng,Novice,3.41,133264,genre fiction
200,1971,The Exorcist,William Peter Blatty,en-US,Intermediate,4.14,124467,genre fiction
201,2009,The Short Second Life of Bree Tanner,Stephenie Meyer,eng,Intermediate,3.51,145874,genre fiction
202,1994,Snow Falling on Cedars,David Guterson,eng,Intermediate,3.8,131945,genre fiction
203,1976,Roots,Alex Haley,en-US,Famous,4.42,118951,genre fiction
204,1988,Batman: The Killing Joke ,"Alan Moore, Brian Bolland, Tim Sale",eng,Intermediate,4.36,113855,genre fiction
205,1952,Invisible Man,Ralph Ellison,eng,Intermediate,3.84,123073,genre fiction
206,2007,A Long Way Gone. Memoirs of a Boy Soldier,Ishmael Beah,en-US,Intermediate,4.14,116260,genre fiction
207,1971,Mrs. Frisby and the Rats of NIMH,Robert C. O'Brien,,Intermediate,4.13,135978,genre fiction
208,1982,Different Seasons,Stephen King,eng,Intermediate,4.34,105961,genre fiction
209,1953,The Little House Collection,"Laura Ingalls Wilder, Garth Williams",,Intermediate,4.33,124320,genre fiction
210,1998,The Girls' Guide to Hunting and Fishing,Melissa Bank,,Novice,3.29,113977,nonfiction
211,2012,Wool Omnibus,Hugh Howey,eng,Intermediate,4.24,81982,genre fiction
212,2002,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,en-US,Intermediate,4.26,118576,genre fiction
213,1997,The Power of Now,Eckhart Tolle,eng,Intermediate,4.1,104549,genre fiction
214,2012,Let's Pretend This Never Happened (A Mostly True Memoir),Jenny  Lawson,eng,Intermediate,3.9,118475,genre fiction
215,2006,The Lies of Locke Lamora,Scott Lynch,eng,Intermediate,4.3,118751,genre fiction
216,1995,Sabriel,Garth Nix,en-US,Intermediate,4.17,137047,genre fiction
217,2009,Dead and Gone,Charlaine Harris,eng,Intermediate,4.01,145157,genre fiction
218,2013,The Storyteller,Jodi Picoult,eng,Intermediate,4.26,109313,genre fiction
219,2011,Obsidian,Jennifer L. Armentrout,eng,Intermediate,4.23,164832,genre fiction
220,1982,"Life, the Universe and Everything",Douglas Adams,eng,Intermediate,4.19,131562,genre fiction
221,2013,Crown of Midnight,Sarah J. Maas,en-CA,Famous,4.49,160485,genre fiction
222,2004,"Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life",Bryan Lee O'Malley,eng,Intermediate,4.18,126864,genre fiction
223,2008,Half Broke Horses: A True Life Novel,Jeannette Walls,eng,Intermediate,4.05,110597,genre fiction
224,1987,Mort,Terry Pratchett,eng,Intermediate,4.22,128450,genre fiction
225,2010,"The Iron King (The Iron Fey, #1) ",Julie Kagawa,eng,Intermediate,3.92,158063,genre fiction
226,1985,Lonesome Dove,Larry McMurtry,en-US,Famous,4.47,111498,genre fiction
227,2003,Stiff: The Curious Lives of Human Cadavers,Mary Roach,eng,Intermediate,4.05,122502,nonfiction
228,2011,Bloodlines,Richelle Mead,en-US,Intermediate,4.22,140599,genre fiction
229,1998,Ender's Shadow,Orson Scott Card,eng,Intermediate,4.3,115521,nonfiction
230,2009,Twenties Girl,Sophie Kinsella,eng,Intermediate,3.82,119105,genre fiction
231,1982,Schindler's Ark,Thomas Keneally,eng,Intermediate,4.34,108338,genre fiction
232,1970,The Bluest Eye,Toni Morrison,eng,Intermediate,3.99,109944,genre fiction
233,2009,The White Queen,Philippa Gregory,eng,Intermediate,3.9,119739,genre fiction
234,1965,The Autobiography of Malcolm X,"Malcolm X, Alex Haley",eng,Intermediate,4.29,124805,nonfiction
235,1989,Preludes & Nocturnes,"Neil Gaiman, Sam Kieth, Mike Dringenberg, Malcolm Jones III, Todd Klein, Karen  Berger",eng,Intermediate,4.3,122540,nonfiction
236,1999,Seabiscuit,Laura Hillenbrand,en-US,Intermediate,4.2,111497,genre fiction
237,2003,Shutter Island,Dennis Lehane,eng,Intermediate,4.07,113718,genre fiction
238,1894,The Complete Sherlock Holmes,Arthur Conan Doyle,eng,Famous,4.5,109754,genre fiction
239,1599,The Tragedy of Julius Caesar,"William Shakespeare, Roma Gill",eng,Intermediate,3.65,119933,genre fiction
240,2011,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Erik Larson,eng,Intermediate,3.81,110481,genre fiction
241,-380,Î Î¿Î»Î¹Ï„ÎµÎ¯Î±,"Plato, Desmond Lee",eng,Intermediate,3.9,110274,genre fiction
242,1593,The Taming of the Shrew,William Shakespeare,en-US,Intermediate,3.81,126318,nonfiction
243,2014,Cress,Marissa Meyer,eng,Famous,4.46,162069,nonfiction
244,2010,Just Kids,Patti Smith,en-US,Intermediate,4.14,106542,genre fiction
245,1997,,Phaidon Press,eng,Intermediate,3.79,102746,genre fiction
246,2001,Jemima J,Jane Green,en-US,Intermediate,3.62,101436,genre fiction
247,1831,Notre-Dame de Paris,"Victor Hugo, Walter J. Cobb",eng,Intermediate,3.97,119851,nonfiction
248,1996,A Fine Balance,Rohinton Mistry,eng,Intermediate,4.34,99252,genre fiction
249,1987,Calvin and Hobbes,"Bill Watterson, G.B. Trudeau",en-US,Famous,4.61,117788,nonfiction
250,2006,Specials,Scott Westerfeld,eng,Intermediate,3.77,139168,genre fiction
251,1899,The Awakening,Kate Chopin,eng,Intermediate,3.63,125474,genre fiction
252,2009,Hunted,"P.C. Cast, Kristin Cast",eng,Intermediate,3.93,138103,genre fiction
253,2006,For One More Day,Mitch Albom,en-US,Intermediate,4.09,102193,genre fiction
254,1989,Clear and Present Danger,Tom Clancy,eng,Intermediate,4.08,105317,genre fiction
255,1996,Falling Up,Shel Silverstein,en-US,Intermediate,4.33,111779,genre fiction
256,2010,Sh*t My Dad Says,Justin Halpern,,Intermediate,3.98,102560,nonfiction
257,1993,Trainspotting,"Irvine Welsh, Eric Lindor Fall",fre,Intermediate,4.07,59453,genre fiction
258,1952,Foundation and Empire,Isaac Asimov,eng,Intermediate,4.2,105595,genre fiction
259,1997,"The Four Agreements: A Practical Guide to Personal Freedom, A Toltec Wisdom Book",Miguel Ruiz,,Intermediate,4.12,97016,genre fiction
260,2010,House Rules,Jodi Picoult,en-US,Intermediate,4.01,111239,nonfiction
261,1812,BrÃ¼der Grimm: Kinder- und HausmÃ¤rchen,"Jacob Grimm, Wilhelm Grimm, Josef Scharl, Padraic Colum, Joseph Campbell, Margaret Raine Hunt, James Stern",eng,Intermediate,4.31,116324,genre fiction
262,1967,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,eng,Intermediate,4.15,134537,genre fiction
263,2013,Doctor Sleep,Stephen King,eng,Intermediate,4.1,95276,genre fiction
264,1998,About a Boy,Nick Hornby,en-US,Intermediate,3.79,101999,genre fiction
