id,gross sales,publisher revenue,sale price,sales rank,Publisher ,units sold
424,1726.08,1035.648,8.99,465,HarperCollins Publishers,5184
425,1468.79,881.274,7.69,468,Penguin Group (USA) LLC,5157
426,948.1,0,4.99,470,"Amazon Digital Services,  Inc.",5130
427,376.11,0,1.99,471,"Amazon Digital Services,  Inc.",5103
428,1510.11,906.066,7.99,472,Random House LLC,5103
429,565.11,339.066,2.99,472,Random House LLC,5103
430,750.12,0,3.99,473,"Amazon Digital Services,  Inc.",5076
431,186.12,0,0.99,474,"Amazon Digital Services,  Inc.",5076
432,185.13,0,0.99,475,"Amazon Digital Services,  Inc.",5049
433,746.13,0,3.99,476,"Amazon Digital Services,  Inc.",5049
434,184.14,110.484,0.99,477,"Amazon Digital Services,  Inc.",5022
435,1114.14,668.484,5.99,478,Penguin Group (USA) LLC,5022
436,553.15,331.89,2.99,479,"Amazon Digital Services,  Inc.",4995
437,550.16,330.096,2.99,482,Macmillan,4968
438,181.17,0,0.99,483,"Amazon Digital Services,  Inc.",4941
439,544.18,326.508,2.99,485,Hachette Book Group,4914
440,1243.06,745.836,6.83,486,Penguin Group (USA) LLC,4914
441,903.19,0,4.99,488,"Amazon Digital Services,  Inc.",4887
442,1726.2,1035.72,9.59,489,Macmillan,4860
443,177.21,106.326,0.99,491,"Amazon Digital Services,  Inc.",4833
444,2280.46,1368.276,12.74,492,Hachette Book Group,4833
445,176.22,0,0.99,493,"Amazon Digital Services,  Inc.",4806
446,532.22,319.332,2.99,493,Hachette Book Group,4806
447,354.22,212.532,1.99,493,Hachette Book Group,4806
448,1242.44,745.464,6.98,494,"Amazon Digital Services,  Inc.",4806
449,175.23,105.138,0.99,495,"Amazon Digital Services,  Inc.",4779
450,350.24,0,1.99,497,"Amazon Digital Services,  Inc.",4752
451,702.24,421.344,3.99,497,"Amazon Digital Services,  Inc.",4752
452,1230.24,738.144,6.99,498,HarperCollins Publishers,4752
453,523.25,0,2.99,499,"Amazon Digital Services,  Inc.",4725
454,868.26,0,4.99,502,"Amazon Digital Services,  Inc.",4698
455,1216.26,729.756,6.99,502,Simon and Schuster Digital Sales Inc,4698
456,1346.76,808.056,7.74,503,"Amazon Digital Services,  Inc.",4698
457,1842.45,1105.47,10.65,505,Random House LLC,4671
458,344.27,206.562,1.99,505,"Amazon Digital Services,  Inc.",4671
459,171.27,0,0.99,508,"Amazon Digital Services,  Inc.",4671
460,517.27,310.362,2.99,509,Simon and Schuster Digital Sales Inc,4671
461,170.28,102.168,0.99,511,"Amazon Digital Services,  Inc.",4644
462,1632.28,979.368,9.49,513,Penguin Group (USA) LLC,4644
463,340.29,0,1.99,514,"Amazon Digital Services,  Inc.",4617
464,1024.29,0,5.99,514,"Amazon Digital Services,  Inc.",4617
465,1879.29,1127.574,10.99,516,Macmillan,4617
466,1109.79,665.874,6.49,517,Hachette Book Group,4617
467,648.09,388.854,3.79,517,Hachette Book Group,4617
468,340.29,0,1.99,518,"Amazon Digital Services,  Inc.",4617
469,508.3,304.98,2.99,519,Penguin Group (USA) LLC,4590
470,678.3,0,3.99,519,"Amazon Digital Services,  Inc.",4590
471,848.3,0,4.99,520,"Amazon Digital Services,  Inc.",4590
472,1688.31,1012.986,9.99,523,Simon and Schuster Digital Sales Inc,4563
473,1350.31,810.186,7.99,524,Random House LLC,4563
474,674.31,404.586,3.99,524,"Amazon Digital Services,  Inc.",4563
475,167.31,100.386,0.99,524,"Amazon Digital Services,  Inc.",4563
476,2153.06,1291.836,12.74,525,Macmillan,4563
477,1294.54,776.724,7.66,526,Simon and Schuster Digital Sales Inc,4563
478,1843.79,1106.274,10.91,526,Macmillan,4563
479,1342.32,805.392,7.99,528,HarperCollins Publishers,4536
480,166.32,0,0.99,530,"Amazon Digital Services,  Inc.",4536
481,1291.92,775.152,7.69,531,Penguin Group (USA) LLC,4536
482,332.33,199.398,1.99,532,HarperCollins Publishers,4509
483,165.33,0,0.99,534,"Amazon Digital Services,  Inc.",4509
484,1985.63,1191.378,11.89,535,HarperCollins Publishers,4509
485,833.33,499.998,4.99,535,"Amazon Digital Services,  Inc.",4509
486,1835.33,1101.198,10.99,536,Random House LLC,4509
487,1152.04,691.224,6.94,537,Random House LLC,4482
488,164.34,0,0.99,538,"Amazon Digital Services,  Inc.",4482
489,1226.74,0,7.39,539,"Amazon Digital Services,  Inc.",4482
490,1153.35,692.01,6.99,541,Penguin Group (USA) LLC,4455
491,823.35,494.01,4.99,542,"Amazon Digital Services,  Inc.",4455
492,163.35,98.01,0.99,543,Hachette Book Group,4455
493,823.35,494.01,4.99,544,Hachette Book Group,4455
494,1757.25,1054.35,10.65,545,Penguin Group (USA) LLC,4455
495,162.36,0,0.99,546,"Amazon Digital Services,  Inc.",4428
496,1746.6,1047.96,10.65,547,Penguin Group (USA) LLC,4428
497,162.36,97.416,0.99,549,"Amazon Digital Services,  Inc.",4428
498,162.36,0,0.99,549,"Amazon Digital Services,  Inc.",4428
499,162.36,97.416,0.99,550,"Amazon Digital Services,  Inc.",4428
500,324.37,194.622,1.99,551,"Amazon Digital Services,  Inc.",4401
501,813.37,488.022,4.99,551,Penguin Group (USA) LLC,4401
502,1470.26,882.156,9.02,553,Random House LLC,4401
503,161.37,96.822,0.99,554,"Amazon Digital Services,  Inc.",4401
504,322.38,193.428,1.99,557,"Amazon Digital Services,  Inc.",4374
505,322.38,193.428,1.99,557,"Amazon Digital Services,  Inc.",4374
506,160.38,96.228,0.99,558,"Amazon Digital Services,  Inc.",4374
507,320.39,192.234,1.99,561,Random House LLC,4347
508,642.39,385.434,3.99,561,Hachette Book Group,4347
509,615.02,369.012,3.82,562,"Amazon Digital Services,  Inc.",4347
510,478.4,287.04,2.99,565,Macmillan,4320
511,1438.4,863.04,8.99,565,Penguin Group (USA) LLC,4320
512,478.4,0,2.99,566,"Amazon Digital Services,  Inc.",4320
513,478.4,0,2.99,567,"Amazon Digital Services,  Inc.",4320
514,1598.4,959.04,9.99,568,Random House LLC,4320
515,475.41,0,2.99,570,"Amazon Digital Services,  Inc.",4293
516,157.41,0,0.99,571,"Amazon Digital Services,  Inc.",4293
517,475.41,0,2.99,572,"Amazon Digital Services,  Inc.",4293
518,634.41,380.646,3.99,572,Hachette Book Group,4293
519,314.42,188.652,1.99,574,Simon and Schuster Digital Sales Inc,4266
520,1136.02,681.612,7.19,575,"Amazon Digital Services,  Inc.",4266
521,472.42,283.452,2.99,576,"Amazon Digital Services,  Inc.",4266
522,1420.42,852.252,8.99,577,HarperCollins Publishers,4266
523,469.43,0,2.99,578,"Amazon Digital Services,  Inc.",4239
524,155.43,0,0.99,580,"Amazon Digital Services,  Inc.",4239
525,1474.23,884.538,9.39,581,"Amazon Digital Services,  Inc.",4239
526,154.44,0,0.99,585,"Amazon Digital Services,  Inc.",4212
527,778.44,467.064,4.99,585,Random House LLC,4212
528,669.24,401.544,4.29,586,HarperCollins Publishing,4212
529,2106.45,1263.87,13.59,589,HarperCollins Publishers,4185
530,618.45,0,3.99,589,"Amazon Digital Services,  Inc.",4185
531,1230.46,738.276,7.99,591,Penguin Group (USA) LLC,4158
532,614.46,0,3.99,592,"Amazon Digital Services,  Inc.",4158
533,460.46,0,2.99,594,"Amazon Digital Services,  Inc.",4158
534,768.46,0,4.99,594,"Amazon Digital Services,  Inc.",4158
535,1167.32,700.392,7.58,595,Penguin Group (USA) LLC,4158
536,610.47,0,3.99,596,"Amazon Digital Services,  Inc.",4131
537,151.47,90.882,0.99,597,"Amazon Digital Services,  Inc.",4131
538,151.47,0,0.99,598,"Amazon Digital Services,  Inc.",4131
539,1176.57,705.942,7.69,600,Penguin Group (USA) LLC,4131
540,1618.8,971.28,10.65,601,Penguin Group (USA) LLC,4104
541,1111.12,666.672,7.31,603,Penguin Group (USA) LLC,4104
542,910.48,546.288,5.99,603,Simon and Schuster Digital Sales Inc,4104
543,149.49,0,0.99,605,"Amazon Digital Services,  Inc.",4077
544,151,90.6,1,607,"Amazon Digital Services,  Inc.",4077
545,661.38,396.828,4.38,608,"Amazon Digital Services,  Inc.",4077
546,1508.49,905.094,9.99,608,"Amazon Digital Services,  Inc.",4077
547,1125,675,7.5,610,Penguin Group (USA) LLC,4050
548,598.5,0,3.99,611,"Amazon Digital Services,  Inc.",4050
549,594.51,356.706,3.99,615,Penguin Group (USA) LLC,4023
550,594.51,356.706,3.99,615,Simon and Schuster Digital Sales Inc,4023
551,1488.51,893.106,9.99,616,HarperCollins Publishing,4023
552,594.51,0,3.99,616,"Amazon Digital Services,  Inc.",4023
553,1427.42,856.452,9.58,617,"Amazon Digital Services,  Inc.",4023
554,1144.04,686.424,7.73,619,Macmillan,3996
555,146.52,0,0.99,620,"Amazon Digital Services,  Inc.",3996
556,442.52,0,2.99,622,"Amazon Digital Services,  Inc.",3996
557,145.53,87.318,0.99,624,"Amazon Digital Services,  Inc.",3969
558,1997.73,1198.638,13.59,624,HarperCollins Publishers,3969
559,145.53,0,0.99,625,"Amazon Digital Services,  Inc.",3969
560,439.53,0,2.99,625,"Amazon Digital Services,  Inc.",3969
561,439.53,263.718,2.99,626,"Amazon Digital Services,  Inc.",3969
562,1074.57,644.742,7.31,627,Penguin Group (USA) LLC,3969
563,675.98,405.588,4.63,628,Hachette Book Group,3942
564,582.54,0,3.99,629,"Amazon Digital Services,  Inc.",3942
565,1097.92,658.752,7.52,629,"Amazon Digital Services,  Inc.",3942
566,1166.54,699.924,7.99,630,Random House LLC,3942
567,1251.22,750.732,8.57,631,"Amazon Digital Services,  Inc.",3942
568,144.54,0,0.99,631,"Amazon Digital Services,  Inc.",3942
569,665.55,399.33,4.59,632,Penguin Group (USA) LLC,3915
570,723.55,0,4.99,632,"Amazon Digital Services,  Inc.",3915
571,990.35,594.21,6.83,634,Simon and Schuster Digital Sales Inc,3915
572,1448.55,869.13,9.99,635,"Amazon Digital Services,  Inc.",3915
573,868.55,521.13,5.99,636,Hachette Book Group,3915
574,1134.72,680.832,7.88,637,Hachette Book Group,3888
575,570.57,0,3.99,641,"Amazon Digital Services,  Inc.",3861
576,1428.57,857.142,9.99,642,Penguin Group (USA) LLC,3861
577,1072.5,643.5,7.5,645,Random House LLC,3861
578,708.58,0,4.99,646,"Amazon Digital Services,  Inc.",3834
579,1560.58,936.348,10.99,647,Penguin Group (USA) LLC,61560
580,969.86,581.916,6.83,649,Random House LLC,61128
581,562.59,0,3.99,651,"Amazon Digital Services,  Inc.",61128
582,139.59,83.754,0.99,652,Random House LLC,60696
583,1030.71,618.426,7.31,652,Penguin Group (USA) LLC,59400
584,562.59,0,3.99,653,"Amazon Digital Services,  Inc.",58968
585,558.6,0,3.99,655,"Amazon Digital Services,  Inc.",57240
586,418.6,251.16,2.99,658,"Amazon Digital Services,  Inc.",56808
587,1398.6,839.16,9.99,658,"Amazon Digital Services,  Inc.",55728
588,698.6,0,4.99,659,"Amazon Digital Services,  Inc.",55080
589,137.61,0,0.99,661,"Amazon Digital Services,  Inc.",54000
590,693.61,0,4.99,663,"Amazon Digital Services,  Inc.",53784
591,725.88,435.528,5.26,665,Penguin Group (USA) LLC,53784
592,1516.62,909.972,10.99,666,Penguin Group (USA) LLC,53784
593,957.72,574.632,6.94,668,Random House LLC,53568
594,1094.63,656.778,7.99,671,Hachette Book Group,53352
595,836.4,501.84,6.15,675,"Amazon Digital Services,  Inc.",53352
596,1225.36,0,9.01,675,"Amazon Digital Services,  Inc.",53136
597,542.64,0,3.99,676,"Amazon Digital Services,  Inc.",52920
598,133.65,0,0.99,679,"Amazon Digital Services,  Inc.",52488
599,538.65,0,3.99,680,"Amazon Digital Services,  Inc.",52488
600,808.65,485.19,5.99,681,Random House LLC,52488
601,873.68,524.208,6.52,682,"Amazon Digital Services,  Inc.",52056
602,1191.26,714.756,8.89,684,Hachette Book Group,52056
603,663.67,0,4.99,688,"Amazon Digital Services,  Inc.",51840
604,530.67,0,3.99,689,"Amazon Digital Services,  Inc.",51624
605,397.67,238.602,2.99,690,Random House LLC,51408
606,394.68,0,2.99,692,"Amazon Digital Services,  Inc.",51192
607,394.68,0,2.99,692,"Amazon Digital Services,  Inc.",51192
608,394.68,236.808,2.99,693,"Amazon Digital Services,  Inc.",50976
609,790.68,0,5.99,693,"Amazon Digital Services,  Inc.",50760
610,526.68,0,3.99,693,"Amazon Digital Services,  Inc.",50544
611,130.68,78.408,0.99,694,"Amazon Digital Services,  Inc.",50328
612,327.36,196.416,2.48,694,Random House LLC,50112
613,394.68,0,2.99,695,"Amazon Digital Services,  Inc.",49896
614,260.69,156.414,1.99,696,Simon and Schuster Digital Sales Inc,49896
615,1395.15,837.09,10.65,698,Hachette Book Group,49680
616,129.69,77.814,0.99,699,"Amazon Digital Services,  Inc.",49680
617,260.69,156.414,1.99,700,HarperCollins Publishers,49248
618,492.7,295.62,3.79,701,Macmillan,49032
619,258.7,155.22,1.99,703,Random House LLC,48816
620,1656.2,993.72,12.74,704,Macmillan,48816
621,514.71,0,3.99,705,"Amazon Digital Services,  Inc.",48600
622,127.71,0,0.99,707,"Amazon Digital Services,  Inc.",48384
623,127.71,76.626,0.99,707,"Amazon Digital Services,  Inc.",48168
624,127.71,0,0.99,708,"Amazon Digital Services,  Inc.",47952
625,127.71,0,0.99,709,"Amazon Digital Services,  Inc.",47736
626,885.76,531.456,6.92,710,Penguin Group (USA) LLC,47520
627,888.32,532.992,6.94,710,"Amazon Digital Services,  Inc.",47520
628,1470.72,882.432,11.49,711,Random House LLC,47304
629,787.2,472.32,6.15,712,"Amazon Digital Services,  Inc.",47304
630,126.72,76.032,0.99,713,"Amazon Digital Services,  Inc.",47088
631,1153.28,691.968,9.01,713,HarperCollins Publishers,47088
632,843.28,505.968,6.64,714,Hachette Book Group,46872
633,1395.73,837.438,10.99,716,Penguin Group (USA) LLC,46872
634,125.73,75.438,0.99,716,"Amazon Digital Services,  Inc.",46872
635,506.73,0,3.99,717,"Amazon Digital Services,  Inc.",46440
636,502.74,0,3.99,719,"Amazon Digital Services,  Inc.",46440
637,124.74,0,0.99,720,"Amazon Digital Services,  Inc.",46008
638,1198.75,719.25,9.59,724,HarperCollins Publishers,46008
639,1127.5,676.5,9.02,725,Random House LLC,46008
640,122.76,73.656,0.99,728,"Amazon Digital Services,  Inc.",45792
641,370.76,0,2.99,730,"Amazon Digital Services,  Inc.",45576
642,121.77,73.062,0.99,733,"Amazon Digital Services,  Inc.",45360
643,121.77,73.062,0.99,736,Random House LLC,45144
644,974.78,584.868,7.99,737,Random House LLC,44928
645,120.78,72.468,0.99,738,Simon and Schuster Digital Sales Inc,44280
646,1096.78,658.068,8.99,739,Random House LLC,43848
647,486.78,292.068,3.99,740,"Amazon Digital Services,  Inc.",43848
648,966.79,580.074,7.99,741,Random House LLC,43416
649,930.49,558.294,7.69,743,Penguin Group (USA) LLC,43416
650,119.79,71.874,0.99,743,"Amazon Digital Services,  Inc.",43416
651,671.55,402.93,5.55,745,"Amazon Digital Services,  Inc.",43200
652,118.8,0,0.99,746,"Amazon Digital Services,  Inc.",42768
653,118.8,71.28,0.99,748,"Amazon Digital Services,  Inc.",42552
654,118.8,71.28,0.99,750,"Amazon Digital Services,  Inc.",42120
655,950.81,570.486,7.99,751,Random House LLC,42120
656,117.81,70.686,0.99,752,"Amazon Digital Services,  Inc.",41904
657,912.73,547.638,7.67,753,Random House LLC,41472
658,355.81,0,2.99,757,"Amazon Digital Services,  Inc.",41256
659,117.81,0,0.99,759,"Amazon Digital Services,  Inc.",40824
660,712.81,427.686,5.99,760,Penguin Group (USA) LLC,40824
661,117.81,70.686,0.99,760,"Amazon Digital Services,  Inc.",40176
662,236.81,142.086,1.99,761,"Amazon Digital Services,  Inc.",40176
663,712.81,427.686,5.99,762,Macmillan,39960
664,474.81,0,3.99,764,"Amazon Digital Services,  Inc.",39744
665,355.81,0,2.99,764,"Amazon Digital Services,  Inc.",39312
666,355.81,0,2.99,765,"Amazon Digital Services,  Inc.",39312
667,1188.81,713.286,9.99,765,Hachette Book Group,38880
668,355.81,213.486,2.99,766,"Amazon Digital Services,  Inc.",38664
669,117.81,0,0.99,767,"Amazon Digital Services,  Inc.",38664
670,593.81,0,4.99,768,"Amazon Digital Services,  Inc.",38448
671,117.81,70.686,0.99,770,"Amazon Digital Services,  Inc.",38448
672,784.21,470.526,6.59,770,"Amazon Digital Services,  Inc.",38448
673,1082.9,649.74,9.1,770,"Amazon Digital Services,  Inc.",38232
674,117.81,70.686,0.99,772,Macmillan,38016
675,117.81,70.686,0.99,773,"Amazon Digital Services,  Inc.",38016
676,915.11,549.066,7.69,775,Random House LLC,37584
677,355.81,0,2.99,779,"Amazon Digital Services,  Inc.",37584
678,640.22,384.132,5.38,779,HarperCollins Publishers,37368
679,1307.81,784.686,10.99,781,Random House LLC,37368
680,117.81,70.686,0.99,782,"Amazon Digital Services,  Inc.",37368
681,593.81,0,4.99,783,"Amazon Digital Services,  Inc.",37152
682,355.81,0,2.99,783,"Amazon Digital Services,  Inc.",37152
683,1022.21,613.326,8.59,784,"Amazon Digital Services,  Inc.",36936
684,117.81,0,0.99,786,"Amazon Digital Services,  Inc.",36936
685,355.81,213.486,2.99,786,Simon and Schuster Digital Sales Inc,36936
686,950.81,570.486,7.99,787,HarperCollins Christian Publishing,36720
687,357.54,214.524,3.03,789,"Amazon Digital Services,  Inc.",36504
688,352.82,0,2.99,791,"Amazon Digital Services,  Inc.",36504
689,116.82,70.092,0.99,792,"Amazon Digital Services,  Inc.",36504
690,862.58,517.548,7.31,792,HarperCollins Publishers,36504
691,862.58,517.548,7.31,794,Penguin Group (USA) LLC,36504
692,352.82,211.692,2.99,797,"Amazon Digital Services,  Inc.",36504
693,1060.82,636.492,8.99,797,HarperCollins Publishers,36504
694,352.82,0,2.99,798,"Amazon Digital Services,  Inc.",36288
695,116.82,0,0.99,799,"Amazon Digital Services,  Inc.",36288
696,1320.42,792.252,11.19,800,HarperCollins Publishers,36072
697,761.1,456.66,6.45,802,Simon and Schuster Digital Sales Inc,36072
698,654.9,392.94,5.55,802,"Amazon Digital Services,  Inc.",36072
699,116.82,70.092,0.99,803,"Amazon Digital Services,  Inc.",36072
700,116.82,70.092,0.99,804,Random House LLC,35856
701,824.82,494.892,6.99,804,Hachette Book Group,35640
702,1060.82,636.492,8.99,805,Random House LLC,35640
703,706.82,424.092,5.99,808,Penguin Group (USA) LLC,35640
704,502.68,301.608,4.26,809,HarperCollins Publishing,35640
705,1131.62,678.972,9.59,810,Penguin Group (USA) LLC,35640
706,234.82,140.892,1.99,810,Simon and Schuster Digital Sales Inc,35424
707,588.82,0,4.99,811,"Amazon Digital Services,  Inc.",35424
708,1680.32,1008.192,14.24,811,Penguin Group (USA) LLC,35424
709,1128.08,676.848,9.56,813,Simon and Schuster Digital Sales Inc,35208
710,352.82,211.692,2.99,814,"Amazon Digital Services,  Inc.",35208
711,872.02,523.212,7.39,816,"Amazon Digital Services,  Inc.",35208
712,470.82,282.492,3.99,818,"Amazon Digital Services,  Inc.",35208
713,824.82,494.892,6.99,818,Random House LLC,34992
714,352.82,0,2.99,819,"Amazon Digital Services,  Inc.",34992
715,942.82,565.692,7.99,820,Penguin Group (USA) LLC,34992
716,470.82,0,3.99,821,"Amazon Digital Services,  Inc.",34776
717,588.82,0,4.99,823,"Amazon Digital Services,  Inc.",34776
718,234.82,140.892,1.99,823,"Amazon Digital Services,  Inc.",34776
719,234.82,140.892,1.99,824,"Amazon Digital Services,  Inc.",34560
720,725.7,435.42,6.15,825,"Amazon Digital Services,  Inc.",34560
721,466.83,0,3.99,826,"Amazon Digital Services,  Inc.",34560
722,934.83,560.898,7.99,827,Random House LLC,34344
723,349.83,209.898,2.99,830,"Amazon Digital Services,  Inc.",34128
724,349.83,209.898,2.99,831,"Amazon Digital Services,  Inc.",34128
725,115.83,0,0.99,832,"Amazon Digital Services,  Inc.",34128
726,232.83,139.698,1.99,832,HarperCollins Publishers,34128
727,232.83,139.698,1.99,834,"Amazon Digital Services,  Inc.",33912
728,855.27,513.162,7.31,836,Random House LLC,33696
729,1519.83,911.898,12.99,836,"Amazon Digital Services,  Inc.",33696
730,466.83,0,3.99,837,"Amazon Digital Services,  Inc.",33480
731,700.83,420.498,5.99,837,HarperCollins Publishers,33264
732,115.83,0,0.99,838,"Amazon Digital Services,  Inc.",33264
733,1689.48,1013.688,14.44,840,HarperCollins Publishers,33048
734,349.83,209.898,2.99,841,Macmillan,33048
735,583.83,350.298,4.99,842,Hachette Book Group,32832
736,1170,702,10,843,"Amazon Digital Services,  Inc.",32832
737,1402.83,841.698,11.99,844,Penguin Group (USA) LLC,32832
738,115.83,0,0.99,845,"Amazon Digital Services,  Inc.",32616
739,349.83,0,2.99,846,"Amazon Digital Services,  Inc.",32616
740,1084.59,650.754,9.27,846,Penguin Group (USA) LLC,32616
741,232.83,139.698,1.99,848,"Amazon Digital Services,  Inc.",32400
742,466.83,0,3.99,852,"Amazon Digital Services,  Inc.",32184
743,349.83,0,2.99,852,"Amazon Digital Services,  Inc.",32184
744,466.83,0,3.99,853,"Amazon Digital Services,  Inc.",32184
745,1391.13,834.678,11.89,854,Simon and Schuster Digital Sales Inc,32184
746,232.83,139.698,1.99,857,Hachette Book Group,31968
747,799.11,479.466,6.83,859,Macmillan,31752
748,349.83,0,2.99,860,"Amazon Digital Services,  Inc.",31752
749,583.83,350.298,4.99,862,Penguin Group (USA) LLC,31752
750,114.84,0,0.99,863,"Amazon Digital Services,  Inc.",31752
751,624.08,374.448,5.38,865,"Amazon Digital Services,  Inc.",31536
752,694.84,0,5.99,866,"Amazon Digital Services,  Inc.",31536
753,892.04,535.224,7.69,867,Random House LLC,31536
754,346.84,0,2.99,868,"Amazon Digital Services,  Inc.",31536
755,462.84,0,3.99,869,"Amazon Digital Services,  Inc.",31320
756,114.84,68.904,0.99,869,Random House LLC,31320
757,1158.84,695.304,9.99,871,Penguin Group (USA) LLC,31320
758,462.84,277.704,3.99,871,Hachette Book Group,31320
759,230.84,138.504,1.99,873,Random House LLC,31104
760,462.84,277.704,3.99,877,"Amazon Digital Services,  Inc.",30888
761,694.84,0,5.99,879,"Amazon Digital Services,  Inc.",30888
762,770.24,462.144,6.64,879,Hachette Book Group,30672
763,114.84,68.904,0.99,881,"Amazon Digital Services,  Inc.",30672
764,694.84,416.904,5.99,883,"Amazon Digital Services,  Inc.",30456
765,114.84,68.904,0.99,884,"Amazon Digital Services,  Inc.",30456
766,114.84,68.904,0.99,885,"Amazon Digital Services,  Inc.",30240
767,114.84,0,0.99,886,"Amazon Digital Services,  Inc.",30240
768,810.84,486.504,6.99,886,Simon and Schuster Digital Sales Inc,29808
769,346.84,0,2.99,887,"Amazon Digital Services,  Inc.",29808
770,114.84,0,0.99,890,"Amazon Digital Services,  Inc.",29808
771,114.84,68.904,0.99,892,"Amazon Digital Services,  Inc.",29592
772,462.84,0,3.99,892,"Amazon Digital Services,  Inc.",29376
773,1042.84,625.704,8.99,893,"Amazon Digital Services,  Inc.",29160
774,1041.68,625.008,8.98,894,"Amazon Digital Services,  Inc.",28944
775,1506.84,904.104,12.99,894,Simon and Schuster Digital Sales Inc,28944
776,784.16,470.496,6.76,897,"Amazon Digital Services,  Inc.",28728
777,346.84,0,2.99,898,"Amazon Digital Services,  Inc.",28512
778,1158.84,695.304,9.99,900,Simon and Schuster Digital Sales Inc,28512
779,926.84,556.104,7.99,900,Random House LLC,28512
780,458.85,0,3.99,903,"Amazon Digital Services,  Inc.",28296
781,1367.35,820.41,11.89,904,Simon and Schuster Digital Sales Inc,28296
782,573.85,0,4.99,905,"Amazon Digital Services,  Inc.",28296
783,343.85,0,2.99,907,"Amazon Digital Services,  Inc.",2943
784,1033.85,620.31,8.99,909,HarperCollins Publishers,2943
785,343.85,0,2.99,909,"Amazon Digital Services,  Inc.",2943
786,343.85,0,2.99,910,"Amazon Digital Services,  Inc.",2943
787,573.85,0,4.99,911,"Amazon Digital Services,  Inc.",2916
788,343.85,206.31,2.99,913,HarperCollins Publishers,2916
789,458.85,0,3.99,914,"Amazon Digital Services,  Inc.",2916
790,1263.85,758.31,10.99,914,Random House LLC,2916
791,458.85,0,3.99,915,"Amazon Digital Services,  Inc.",2916
792,343.85,0,2.99,916,"Amazon Digital Services,  Inc.",2916
793,343.85,206.31,2.99,917,"Amazon Digital Services,  Inc.",2916
794,458.85,0,3.99,918,"Amazon Digital Services,  Inc.",2916
795,803.85,482.31,6.99,920,Penguin Group (USA) LLC,2916
796,930.35,558.21,8.09,921,Penguin Group (USA) LLC,2916
797,113.85,68.31,0.99,922,"Amazon Digital Services,  Inc.",2916
798,573.85,344.31,4.99,924,"Amazon Digital Services,  Inc.",2916
799,1269.6,761.76,11.04,926,HarperCollins Publishers,2916
800,884.35,530.61,7.69,927,Random House LLC,2916
801,113.85,68.31,0.99,930,"Amazon Digital Services,  Inc.",2916
802,573.85,344.31,4.99,931,Simon and Schuster Digital Sales Inc,2916
803,573.85,344.31,4.99,933,Macmillan,2916
804,113.85,0,0.99,936,"Amazon Digital Services,  Inc.",2916
805,343.85,0,2.99,937,"Amazon Digital Services,  Inc.",2916
806,910.86,546.516,7.99,938,"Amazon Digital Services,  Inc.",2916
807,1366.86,820.116,11.99,939,Penguin Group (USA) LLC,2916
808,1366.86,820.116,11.99,941,Random House LLC,2916
809,340.86,204.516,2.99,943,"Amazon Digital Services,  Inc.",2916
810,568.86,0,4.99,944,"Amazon Digital Services,  Inc.",2916
811,112.86,0,0.99,946,"Amazon Digital Services,  Inc.",2916
812,910.86,546.516,7.99,947,"Amazon Digital Services,  Inc.",2916
813,112.86,67.716,0.99,949,"Amazon Digital Services,  Inc.",2916
814,876.66,525.996,7.69,950,Random House LLC,2916
815,226.86,0,1.99,952,"Amazon Digital Services,  Inc.",2916
816,568.86,341.316,4.99,952,Macmillan,2916
817,568.86,0,4.99,953,"Amazon Digital Services,  Inc.",2916
818,112.86,67.716,0.99,955,"Amazon Digital Services,  Inc.",2916
819,226.86,136.116,1.99,956,HarperCollins Publishers,2889
820,876.66,525.996,7.69,957,Penguin Group (USA) LLC,2889
821,340.86,204.516,2.99,958,"Amazon Digital Services,  Inc.",2889
822,1366.86,820.116,11.99,960,Penguin Group (USA) LLC,2889
823,397.86,0,3.49,961,"Amazon Digital Services,  Inc.",2889
824,568.86,341.316,4.99,963,Random House LLC,2889
825,340.86,0,2.99,963,"Amazon Digital Services,  Inc.",2889
826,454.86,272.916,3.99,966,"Amazon Digital Services,  Inc.",2889
827,856.14,513.684,7.51,967,Penguin Group (USA) LLC,2889
828,340.86,204.516,2.99,968,Simon and Schuster Digital Sales Inc,2889
829,345.42,0,3.03,968,"Amazon Digital Services,  Inc.",2889
830,844.74,506.844,7.41,969,Macmillan,2889
831,228,0,2,970,"Amazon Digital Services,  Inc.",2889
832,597.36,358.416,5.24,970,"Amazon Digital Services,  Inc.",2889
833,778.62,467.172,6.83,971,Simon and Schuster Digital Sales Inc,2889
834,910.86,546.516,7.99,971,Random House LLC,2889
835,454.86,0,3.99,972,"Amazon Digital Services,  Inc.",2889
836,454.86,0,3.99,973,"Amazon Digital Services,  Inc.",2889
837,746.7,448.02,6.55,973,Macmillan,2889
838,1220.4,732.24,10.8,977,HarperCollins Publishers,2889
839,431.66,258.996,3.82,980,"Amazon Digital Services,  Inc.",2889
840,902.87,541.722,7.99,981,Hachette Book Group,2889
841,563.87,0,4.99,982,"Amazon Digital Services,  Inc.",2889
842,1128.87,677.322,9.99,984,"Amazon Digital Services,  Inc.",2889
843,450.87,0,3.99,985,"Amazon Digital Services,  Inc.",2889
844,450.87,0,3.99,986,"Amazon Digital Services,  Inc.",2889
845,1241.87,745.122,10.99,988,Random House LLC,2889
846,111.87,67.122,0.99,990,"Amazon Digital Services,  Inc.",2889
