id,gross sales,publisher revenue,sale price,sales rank,Publisher ,units sold
96,1035.54,621.324,0.99,97,"Amazon Digital Services,  Inc.",1046
97,1019.7,0,0.99,98,"Amazon Digital Services,  Inc.",1030
98,6079.85,0,5.99,99,"Amazon Digital Services,  Inc.",1015
99,6932.45,4159.47,6.83,99,Penguin Group (USA) LLC,1015
100,985.05,0,0.99,101,"Amazon Digital Services,  Inc.",995
101,5068.8,3041.28,5.12,102,Penguin Group (USA) LLC,990
102,2195.2,1317.12,2.24,104,"Amazon Digital Services,  Inc.",980
103,7312.5,4387.5,7.5,105,Hachette Book Group,975
104,960.3,0,0.99,106,"Amazon Digital Services,  Inc.",970
105,10224,6134.4,10.65,108,Penguin Group (USA) LLC,960
106,7670.4,4602.24,7.99,108,Penguin Group (USA) LLC,960
107,1880.55,0,1.99,111,"Amazon Digital Services,  Inc.",945
108,4690.6,2814.36,4.99,112,Macmillan,940
109,3730.65,2238.39,3.99,113,Penguin Group (USA) LLC,935
110,1850.7,0,1.99,114,"Amazon Digital Services,  Inc.",930
111,5980,3588,6.5,116,"Amazon Digital Services,  Inc.",920
112,905.85,543.51,0.99,117,Random House LLC,915
113,7759.2,4655.52,8.48,117,"Amazon Digital Services,  Inc.",915
114,900.9,0,0.99,118,"Amazon Digital Services,  Inc.",910
115,895.95,537.57,0.99,119,"Amazon Digital Services,  Inc.",905
116,891,0,0.99,120,"Amazon Digital Services,  Inc.",900
117,5841,3504.6,6.49,120,Macmillan,900
118,10731.05,6438.63,11.99,121,Random House LLC,895
119,2661.1,0,2.99,122,"Amazon Digital Services,  Inc.",890
120,1771.1,1062.66,1.99,122,HarperCollins Publishers,890
121,3531.15,0,3.99,123,"Amazon Digital Services,  Inc.",885
122,6525,3915,7.5,126,Simon and Schuster Digital Sales Inc,870
123,3451.35,0,3.99,127,"Amazon Digital Services,  Inc.",865
124,6871.4,4122.84,7.99,128,Random House LLC,860
125,841.5,504.9,0.99,130,"Amazon Digital Services,  Inc.",850
126,10131.55,6078.93,11.99,131,Hachette Book Group,845
127,6711.6,4026.96,7.99,132,Random House LLC,840
128,816.75,0,0.99,135,"Amazon Digital Services,  Inc.",825
129,1641.75,985.05,1.99,135,HarperCollins Publishers,825
130,5696.85,3418.11,6.99,137,Random House LLC,815
131,2421.9,0,2.99,138,"Amazon Digital Services,  Inc.",810
132,8573.25,5143.95,10.65,139,Penguin Group (USA) LLC,805
133,3192,0,3.99,140,"Amazon Digital Services,  Inc.",800
134,792,475.2,0.99,140,"Amazon Digital Services,  Inc.",800
135,3172.05,0,3.99,141,"Amazon Digital Services,  Inc.",795
136,1572.1,943.26,1.99,142,"Amazon Digital Services,  Inc.",790
137,9412.15,5647.29,11.99,143,Penguin Group (USA) LLC,785
138,3112.2,0,3.99,144,"Amazon Digital Services,  Inc.",780
139,8269.25,4961.55,10.67,145,Simon and Schuster Digital Sales Inc,775
140,1512.4,907.44,1.99,148,HarperCollins Publishers,760
141,3012.45,0,3.99,149,"Amazon Digital Services,  Inc.",755
142,3742.5,0,4.99,150,"Amazon Digital Services,  Inc.",750
143,2992.5,0,3.99,150,"Amazon Digital Services,  Inc.",750
144,3717.55,2230.53,4.99,151,Random House LLC,745
145,2952.6,1771.56,3.99,152,Macmillan,740
146,727.65,0,0.99,153,"Amazon Digital Services,  Inc.",735
147,3642.7,0,4.99,154,"Amazon Digital Services,  Inc.",730
148,5444.75,3266.85,7.51,155,Random House LLC,725
149,712.8,0,0.99,156,"Amazon Digital Services,  Inc.",720
150,702.9,0,0.99,158,"Amazon Digital Services,  Inc.",710
151,697.95,418.77,0.99,159,"Amazon Digital Services,  Inc.",705
152,5593,3355.8,7.99,160,Hachette Book Group,700
153,1353.2,811.92,1.99,164,HarperCollins Publishers,680
154,668.25,400.95,0.99,165,"Amazon Digital Services,  Inc.",675
155,3678.3,2206.98,5.49,166,"Amazon Digital Services,  Inc.",670
156,658.35,395.01,0.99,167,"Amazon Digital Services,  Inc.",665
157,7814.4,4688.64,11.84,168,Random House LLC,660
158,648.45,0,0.99,169,"Amazon Digital Services,  Inc.",655
159,9818.45,5891.07,14.99,169,Random House LLC,655
160,3243.5,0,4.99,170,"Amazon Digital Services,  Inc.",650
161,1943.5,0,2.99,170,"Amazon Digital Services,  Inc.",650
162,3218.55,0,4.99,171,"Amazon Digital Services,  Inc.",645
163,4473.6,2684.16,6.99,172,Random House LLC,640
164,5663.7,3398.22,8.99,174,Simon and Schuster Digital Sales Inc,630
165,608.85,0,0.99,177,"Amazon Digital Services,  Inc.",615
166,603.9,362.34,0.99,178,"Amazon Digital Services,  Inc.",610
167,1210,0,2,179,"Amazon Digital Services,  Inc.",605
168,594,0,0.99,180,"Amazon Digital Services,  Inc.",600
169,3540.25,0,5.95,181,"Amazon Digital Services,  Inc.",595
170,3564.05,2138.43,5.99,181,Penguin Group (USA) LLC,595
171,1174.1,704.46,1.99,182,"Amazon Digital Services,  Inc.",590
172,5200.65,3120.39,8.89,183,Macmillan,585
173,569.25,0,0.99,185,"Amazon Digital Services,  Inc.",575
174,1134.3,0,1.99,186,"Amazon Digital Services,  Inc.",570
175,1659.45,0,2.99,189,"Amazon Digital Services,  Inc.",555
176,4434.45,2660.67,7.99,189,Penguin Group (USA) LLC,555
177,544.5,326.7,0.99,190,"Amazon Digital Services,  Inc.",550
178,534.6,0,0.99,192,"Amazon Digital Services,  Inc.",540
179,2154.6,0,3.99,192,"Amazon Digital Services,  Inc.",540
180,1599.65,959.79,2.99,193,Random House LLC,535
181,524.7,314.82,0.99,194,Macmillan,530
182,1024.85,614.91,1.99,197,"Amazon Digital Services,  Inc.",515
183,1524.9,0,2.99,198,"Amazon Digital Services,  Inc.",510
184,2014.95,1208.97,3.99,199,"Amazon Digital Services,  Inc.",505
